Unit;kWh;kWh;kWh;kWh;kWh;kWh;
Version;1_0;1_0;1_0;1_0;1_0;1_0;
01.09.2021 00:00 - 01:00;ff;-46,000.00f;ff;-57,568.00f;0.00;103,568.00
01.09.2021 01:00 - 02:00;ff;-46,000.00f;ff;-43,385.00f;0.00;89,385.00
01.09.2021 02:00 - 03:00;ff;-46,000.00f;ff;-42,854.00f;0.00;88,854.00
01.09.2021 03:00 - 04:00;ff;-46,000.00f;ff;-60,007.00f;0.00;106,007.00
01.09.2021 04:00 - 05:00;ff;-46,000.00f;ff;-8,343.00f;0.00;54,343.00
01.09.2021 05:00 - 06:00;ff;-46,000.00f;ff;-55,523.00f;0.00;101,523.00
01.09.2021 06:00 - 07:00;ff;-46,000.00f;ff;-58,432.00f;0.00;104,432.00
01.09.2021 07:00 - 08:00;ff;-46,000.00f;ff;-7,113.00f;0.00;53,113.00
01.09.2021 08:00 - 09:00;ff;-46,000.00f;ff;-2,148.00f;0.00;48,148.00
01.09.2021 09:00 - 10:00;ff;-46,000.00f;ff;-8,912.00f;0.00;54,912.00
01.09.2021 10:00 - 11:00;ff;-46,000.00f;ff;-44,092.00f;0.00;90,092.00
01.09.2021 11:00 - 12:00;ff;-46,000.00f;ff;-39,165.00f;0.00;85,165.00
01.09.2021 12:00 - 13:00;ff;-46,000.00f;ff;-27,367.00f;0.00;73,367.00
01.09.2021 13:00 - 14:00;ff;-46,000.00f;ff;-36,599.00f;0.00;82,599.00
01.09.2021 14:00 - 15:00;ff;-46,000.00f;ff;-19,298.00f;0.00;65,298.00
01.09.2021 15:00 - 16:00;ff;-45,010.00f;ff;ff;0.00;45,010.00
01.09.2021 16:00 - 17:00;ff;-46,000.00f;ff;-40,829.00f;0.00;86,829.00
01.09.2021 17:00 - 18:00;ff;-46,000.00f;ff;-22,851.00f;0.00;68,851.00
01.09.2021 18:00 - 19:00;ff;-46,000.00f;ff;-49,826.00f;0.00;95,826.00
01.09.2021 19:00 - 20:00;ff;-46,000.00f;ff;-34,478.00f;0.00;80,478.00
01.09.2021 20:00 - 21:00;ff;-46,000.00f;ff;-36,566.00f;0.00;82,566.00
01.09.2021 21:00 - 22:00;ff;-46,000.00f;ff;-18,210.00f;0.00;64,210.00
01.09.2021 22:00 - 23:00;ff;-46,000.00f;ff;-12,560.00f;0.00;58,560.00
01.09.2021 23:00 - 24:00;ff;-46,000.00f;ff;-25,077.00f;0.00;71,077.00
02.09.2021 00:00 - 01:00;ff;-46,000.00f;ff;-52,384.00f;0.00;98,384.00
02.09.2021 01:00 - 02:00;ff;-44,371.00f;ff;ff;0.00;44,371.00
02.09.2021 02:00 - 03:00;ff;-46,000.00f;ff;-47,514.00f;0.00;93,514.00
02.09.2021 03:00 - 04:00;ff;-46,000.00f;ff;-9,221.00f;0.00;55,221.00
02.09.2021 04:00 - 05:00;ff;-46,000.00f;ff;-60,768.00f;0.00;106,768.00
02.09.2021 05:00 - 06:00;ff;-46,000.00f;ff;-64,823.00f;0.00;110,823.00
02.09.2021 06:00 - 07:00;ff;-46,000.00f;ff;-45,746.00f;0.00;91,746.00
02.09.2021 07:00 - 08:00;ff;-46,000.00f;ff;-22,565.00f;0.00;68,565.00
02.09.2021 08:00 - 09:00;ff;-46,000.00f;ff;-19,228.00f;0.00;65,228.00
02.09.2021 09:00 - 10:00;ff;-46,000.00f;ff;-22,676.00f;0.00;68,676.00
02.09.2021 10:00 - 11:00;ff;-46,000.00f;ff;-30,023.00f;0.00;76,023.00
02.09.2021 11:00 - 12:00;ff;-26,969.00f;ff;ff;0.00;26,969.00
02.09.2021 12:00 - 13:00;ff;-46,000.00f;ff;-19,560.00f;0.00;65,560.00
02.09.2021 13:00 - 14:00;ff;-46,000.00f;ff;-7,005.00f;0.00;53,005.00
02.09.2021 14:00 - 15:00;ff;-46,000.00f;ff;-44,404.00f;0.00;90,404.00
02.09.2021 15:00 - 16:00;ff;-46,000.00f;ff;-23,366.00f;0.00;69,366.00
02.09.2021 16:00 - 17:00;ff;-46,000.00f;ff;-12,876.00f;0.00;58,876.00
02.09.2021 17:00 - 18:00;ff;-46,000.00f;ff;-1,243.00f;0.00;47,243.00
02.09.2021 18:00 - 19:00;ff;-23,000.00f;ff;-48,182.00f;0.00;71,182.00
02.09.2021 19:00 - 20:00;ff;-23,000.00f;ff;-32,216.00f;0.00;55,216.00
02.09.2021 20:00 - 21:00;ff;-162,000.00f;3,466.67f;-38,018.67f;0.00;196,552.00
02.09.2021 21:00 - 22:00;ff;-159,273.00f;11,200.00f;ff;0.00;148,073.00
02.09.2021 22:00 - 23:00;ff;-23,000.00f;ff;-17,400.00f;0.00;40,400.00
02.09.2021 23:00 - 24:00;ff;-46,000.00f;ff;-27,372.00f;0.00;73,372.00
03.09.2021 00:00 - 01:00;ff;-46,000.00f;ff;-37,641.00;0.00;83,641.00
03.09.2021 01:00 - 02:00;ff;-46,000.00f;ff;-46,806.00;0.00;92,806.00
03.09.2021 02:00 - 03:00;ff;-46,000.00f;ff;-27,510.00;0.00;73,510.00
03.09.2021 03:00 - 04:00;ff;-46,000.00f;ff;-33,016.00;0.00;79,016.00
03.09.2021 04:00 - 05:00;ff;-46,000.00f;ff;-5,408.00;0.00;51,408.00
